station name,distance_group,date_formatted,tripduration,trip_distance,count
1 Ave & E 16 St,10-11 km,08/2020,24206,66.67792722736895,6
1 Ave & E 16 St,12-13 km,06/2019,0,0.0,0
1 Ave & E 16 St,12-13 km,06/2020,0,0.0,0
1 Ave & E 16 St,12-13 km,07/2019,0,0.0,0
1 Ave & E 16 St,12-13 km,07/2020,0,0.0,0
1 Ave & E 16 St,12-13 km,08/2019,0,0.0,0
1 Ave & E 16 St,12-13 km,08/2020,0,0.0,0
1 Ave & E 18 St,0-1 km,06/2019,2268602,4357.66017343062,4392
1 Ave & E 18 St,0-1 km,06/2020,86689,125.2243304861403,122
1 Ave & E 18 St,0-1 km,07/2019,2734240,4505.9446066563605,4558
1 Ave & E 18 St,0-1 km,07/2020,2096321,3066.181556801505,3062
1 Ave & E 18 St,0-1 km,08/2019,2485084,4665.838047717234,4633
1 Ave & E 18 St,0-1 km,08/2020,3762358,4154.458208833017,4119
1 Ave & E 18 St,2-3 km,06/2019,1858877,3930.926952462703,1498
1 Ave & E 18 St,2-3 km,06/2020,57115,135.28916887907843,47
1 Ave & E 18 St,2-3 km,07/2019,1526026,3608.564012280483,1363
1 Ave & E 18 St,2-3 km,07/2020,2089202,3480.044442541586,1235
1 Ave & E 18 St,2-3 km,08/2019,1657015,3702.426322683518,1397
1 Ave & E 18 St,2-3 km,08/2020,1990649,4596.934191656809,1658
1 Ave & E 18 St,4-5 km,06/2019,410235,1029.9153261176696,223
1 Ave & E 18 St,4-5 km,06/2020,28705,77.60598668378532,17
1 Ave & E 18 St,4-5 km,07/2019,355290,1017.645412106481,214
1 Ave & E 18 St,4-5 km,07/2020,552071,1476.8951955227226,312
1 Ave & E 18 St,4-5 km,08/2019,358971,978.5407926542663,213
1 Ave & E 18 St,4-5 km,08/2020,822848,2143.0331063227077,451
1 Ave & E 18 St,6-7 km,06/2019,109874,343.3618476161592,52
1 Ave & E 18 St,6-7 km,06/2020,19756,60.91302276000118,9
1 Ave & E 18 St,6-7 km,07/2019,55302,187.05493661395516,28
1 Ave & E 18 St,6-7 km,07/2020,154873,458.3017417508885,68
1 Ave & E 18 St,6-7 km,08/2019,86837,291.10390946674715,44
1 Ave & E 18 St,6-7 km,08/2020,296534,912.7179945729846,135
1 Ave & E 18 St,8-9 km,06/2019,46517,94.31489822598371,11
1 Ave & E 18 St,8-9 km,06/2020,0,0.0,0
1 Ave & E 18 St,8-9 km,07/2019,16438,49.45886081602214,6
1 Ave & E 18 St,8-9 km,07/2020,35161,95.27433517043988,11
1 Ave & E 18 St,8-9 km,08/2019,4394,16.56566804961263,2
1 Ave & E 18 St,8-9 km,08/2020,68670,239.3935057128582,27
1 Ave & E 18 St,10-11 km,06/2019,0,0.0,0
1 Ave & E 18 St,10-11 km,06/2020,0,0.0,0
1 Ave & E 18 St,10-11 km,07/2019,0,0.0,0
1 Ave & E 18 St,10-11 km,07/2020,5509,21.339805540033314,2
1 Ave & E 18 St,10-11 km,08/2019,0,0.0,0
1 Ave & E 18 St,10-11 km,08/2020,16385,21.135564171212117,2
1 Ave & E 18 St,12-13 km,06/2019,0,0.0,0
1 Ave & E 18 St,12-13 km,06/2020,0,0.0,0
1 Ave & E 18 St,12-13 km,07/2019,0,0.0,0
1 Ave & E 18 St,12-13 km,07/2020,0,0.0,0
1 Ave & E 18 St,12-13 km,08/2019,0,0.0,0
1 Ave & E 18 St,12-13 km,08/2020,2268,12.671551913482661,1
1 Ave & E 30 St,0-1 km,06/2019,1431751,2948.8858624974696,2589
1 Ave & E 30 St,0-1 km,06/2020,1476461,2414.310295697927,2197
1 Ave & E 30 St,0-1 km,07/2019,1721898,3574.1946058306844,3078
1 Ave & E 30 St,0-1 km,07/2020,1288220,2369.2288270674258,2137
1 Ave & E 30 St,0-1 km,08/2019,1597436,3424.441227696635,2933
1 Ave & E 30 St,0-1 km,08/2020,1295182,2447.171899693528,2236
1 Ave & E 30 St,2-3 km,06/2019,1368475,3266.1743207115314,1203
1 Ave & E 30 St,2-3 km,06/2020,1742442,3401.9789111982077,1198
1 Ave & E 30 St,2-3 km,07/2019,1294683,3100.9961306396935,1148
1 Ave & E 30 St,2-3 km,07/2020,1366435,3307.328109958928,1216
1 Ave & E 30 St,2-3 km,08/2019,1247684,3074.099228635968,1146
1 Ave & E 30 St,2-3 km,08/2020,1432221,3570.651325398594,1321
1 Ave & E 30 St,4-5 km,06/2019,418057,1121.0999212376519,234
1 Ave & E 30 St,4-5 km,06/2020,886002,2393.1061780978566,502
1 Ave & E 30 St,4-5 km,07/2019,432860,1147.5425487525438,243
1 Ave & E 30 St,4-5 km,07/2020,656635,1877.8017719728327,386
1 Ave & E 30 St,4-5 km,08/2019,408816,1117.6301267018912,231
1 Ave & E 30 St,4-5 km,08/2020,691883,1851.320058907112,389
1 Ave & E 30 St,6-7 km,06/2019,76385,247.62925325952534,36
1 Ave & E 30 St,6-7 km,06/2020,265789,832.7447190610928,122
1 Ave & E 30 St,6-7 km,07/2019,76908,236.25228674759228,35
1 Ave & E 30 St,6-7 km,07/2020,227534,691.5772876692521,102
1 Ave & E 30 St,6-7 km,08/2019,81232,268.1064278420363,39
1 Ave & E 30 St,6-7 km,08/2020,200466,629.8932974250987,92
1 Ave & E 30 St,8-9 km,06/2019,3810,16.20621066379192,2
1 Ave & E 30 St,8-9 km,06/2020,31951,104.25388345905603,12
1 Ave & E 30 St,8-9 km,07/2019,9597,32.36568277238888,4
1 Ave & E 30 St,8-9 km,07/2020,30829,103.81801976979659,12
1 Ave & E 30 St,8-9 km,08/2019,7540,25.245463279654864,3
1 Ave & E 30 St,8-9 km,08/2020,34071,125.35890484045282,14
1 Ave & E 30 St,10-11 km,06/2019,0,0.0,0
1 Ave & E 30 St,10-11 km,06/2020,2053,10.083959951558551,1
1 Ave & E 30 St,10-11 km,07/2019,0,0.0,0
1 Ave & E 30 St,10-11 km,07/2020,0,0.0,0
1 Ave & E 30 St,10-11 km,08/2019,0,0.0,0
1 Ave & E 30 St,10-11 km,08/2020,11726,42.620616011634944,4
1 Ave & E 30 St,12-13 km,06/2019,0,0.0,0
1 Ave & E 30 St,12-13 km,06/2020,0,0.0,0
1 Ave & E 30 St,12-13 km,07/2019,0,0.0,0
1 Ave & E 30 St,12-13 km,07/2020,0,0.0,0
1 Ave & E 30 St,12-13 km,08/2019,0,0.0,0
1 Ave & E 30 St,12-13 km,08/2020,3453,12.719382587888655,1
1 Ave & E 44 St,0-1 km,06/2019,1301887,2397.622892441716,2008
1 Ave & E 44 St,0-1 km,06/2020,1561881,1442.4689828668197,1292
