birth_year_group,duration_group,date_formatted,tripduration,trip_distance,count
1925-1934,1440-2159 min,08/2020,166746,214.80486801708213,73
1935-1944,0-719 min,06/2019,1067937,2266.0708420985866,2676
1935-1944,0-719 min,06/2020,804341,1759.2724901448437,2272
1935-1944,0-719 min,07/2019,1073955,2274.825881023909,2743
1935-1944,0-719 min,07/2020,918435,2030.874211195456,2857
1935-1944,0-719 min,08/2019,1073198,2271.0154379625396,2731
1935-1944,0-719 min,08/2020,975831,2154.1073941245613,2949
1935-1944,720-1439 min,06/2019,1468037,2785.98482295809,1443
1935-1944,720-1439 min,06/2020,924937,1775.3222821844772,891
1935-1944,720-1439 min,07/2019,1408560,2673.696589889283,1381
1935-1944,720-1439 min,07/2020,1076660,2229.2705104858355,1043
1935-1944,720-1439 min,08/2019,1277018,2379.269666012304,1260
1935-1944,720-1439 min,08/2020,1230774,2592.835723783343,1166
1935-1944,1440-2159 min,06/2019,1918482,1924.7292250982748,743
1935-1944,1440-2159 min,06/2020,2643304,2677.5910180961496,1028
1935-1944,1440-2159 min,07/2019,1843791,1906.7413299231634,682
1935-1944,1440-2159 min,07/2020,2352163,2634.9990965213865,930
1935-1944,1440-2159 min,08/2019,1695276,1829.1957923051034,653
1935-1944,1440-2159 min,08/2020,4408650,3324.768675856324,1119
1945-1954,0-719 min,06/2019,8837361,19999.459686726343,21966
1945-1954,0-719 min,06/2020,5391518,12226.495692450764,13542
1945-1954,0-719 min,07/2019,9280042,21165.16415281706,23444
1945-1954,0-719 min,07/2020,6282589,14270.334480823154,16372
1945-1954,0-719 min,08/2019,9341072,21296.677475050332,23625
1945-1954,0-719 min,08/2020,6637396,15083.937142240844,16964
1945-1954,720-1439 min,06/2019,10986438,23091.970869006782,10785
1945-1954,720-1439 min,06/2020,9098324,18574.30809725209,8768
1945-1954,720-1439 min,07/2019,11011428,23404.58372012257,10846
1945-1954,720-1439 min,07/2020,9597602,20429.351835418933,9272
1945-1954,720-1439 min,08/2019,11369771,23777.0734986231,11216
1945-1954,720-1439 min,08/2020,10072222,21261.781445571523,9747
1945-1954,1440-2159 min,06/2019,15372688,18929.59871405205,5751
1945-1954,1440-2159 min,06/2020,20118423,22552.14037299417,8340
1945-1954,1440-2159 min,07/2019,14747583,17568.994610525748,5472
1945-1954,1440-2159 min,07/2020,22325528,22002.794920906737,7977
1945-1954,1440-2159 min,08/2019,13217061,17574.200168480173,5671
1945-1954,1440-2159 min,08/2020,23416345,22866.41591600384,7999
1955-1964,0-719 min,06/2019,39838398,97349.99600160433,98740
1955-1964,0-719 min,06/2020,21613241,52535.398313079,54129
1955-1964,0-719 min,07/2019,40703384,99013.0396055663,101637
1955-1964,0-719 min,07/2020,26546463,64815.616836061476,66597
1955-1964,0-719 min,08/2019,40697414,99014.08259854373,102239
1955-1964,0-719 min,08/2020,27897684,67619.34546543454,70188
1955-1964,720-1439 min,06/2019,49390647,112556.39841010356,48761
1955-1964,720-1439 min,06/2020,37394588,83122.66949061555,35944
1955-1964,720-1439 min,07/2019,48279816,110590.894140925,47750
1955-1964,720-1439 min,07/2020,41534968,94648.55916778509,40287
1955-1964,720-1439 min,08/2019,49053362,111941.39867179401,48364
1955-1964,720-1439 min,08/2020,42884448,97932.34831776078,41587
1955-1964,1440-2159 min,06/2019,65248618,91782.62934336872,25365
1955-1964,1440-2159 min,06/2020,89243520,102404.31836185949,33103
1955-1964,1440-2159 min,07/2019,59551314,86220.59508522291,23917
1955-1964,1440-2159 min,07/2020,92445860,101084.48288441972,31198
1955-1964,1440-2159 min,08/2019,62590027,92618.74847940728,25451
1955-1964,1440-2159 min,08/2020,92513670,105958.27815001947,32275
1965-1974,0-719 min,06/2019,88619176,216444.09396594917,214141
1965-1974,0-719 min,06/2020,56847002,137811.35936649598,135620
1965-1974,0-719 min,07/2019,89978523,218919.22096530555,217556
1965-1974,0-719 min,07/2020,73835124,180890.41200430904,175066
1965-1974,0-719 min,08/2019,92589269,224109.03280782865,223470
1965-1974,0-719 min,08/2020,82973041,204971.9138198738,195409
1965-1974,720-1439 min,06/2019,158812732,329961.3555651349,151963
1965-1974,720-1439 min,06/2020,139912646,297723.4661222214,132089
1965-1974,720-1439 min,07/2019,153640800,319868.7898064453,147433
1965-1974,720-1439 min,07/2020,157998862,345558.8306404469,150850
1965-1974,720-1439 min,08/2019,169157220,348230.56887983065,161587
1965-1974,720-1439 min,08/2020,173551843,385112.54744541674,166437
1965-1974,1440-2159 min,06/2019,485041573,352119.25310313684,115123
1965-1974,1440-2159 min,06/2020,796382580,502585.1559986018,172312
1965-1974,1440-2159 min,07/2019,435543329,331041.16002285964,109560
1965-1974,1440-2159 min,07/2020,831185286,479481.8802156353,157969
1965-1974,1440-2159 min,08/2019,488308151,373157.9599765843,123334
1965-1974,1440-2159 min,08/2020,672578244,526476.1748073967,166348
1975-1984,0-719 min,06/2019,105436563,274346.9811922555,259710
1975-1984,0-719 min,06/2020,52946694,136039.64619846322,128713
1975-1984,0-719 min,07/2019,110189890,285433.94774343754,272864
1975-1984,0-719 min,07/2020,69405400,179496.78971608705,171922
1975-1984,0-719 min,08/2019,112777442,292020.5568002893,279638
1975-1984,0-719 min,08/2020,74401218,191791.99946912786,183910
1975-1984,720-1439 min,06/2019,128998321,307699.904363234,127047
1975-1984,720-1439 min,06/2020,104690984,246137.79767047998,100040
1975-1984,720-1439 min,07/2019,128484057,307489.42370937124,126901
1975-1984,720-1439 min,07/2020,116618301,281429.2975487876,112474
1975-1984,720-1439 min,08/2019,136708426,327209.59588724154,134561
1975-1984,720-1439 min,08/2020,122521667,293642.7016390813,118376
1975-1984,1440-2159 min,06/2019,187925518,256973.67551647592,67918
1975-1984,1440-2159 min,06/2020,275339884,333346.92265410186,99516
1975-1984,1440-2159 min,07/2019,165467331,246172.67016280175,65459
1975-1984,1440-2159 min,07/2020,281459471,326145.3019434234,91989
1975-1984,1440-2159 min,08/2019,181577757,269119.09846806165,71519
1975-1984,1440-2159 min,08/2020,271486518,342625.0234589609,96513
1985-1994,0-719 min,06/2019,179685684,472947.8608800872,434286
1985-1994,0-719 min,06/2020,110649529,286912.81525105855,258979
1985-1994,0-719 min,07/2019,192792709,505602.0490590659,468355
1985-1994,0-719 min,07/2020,145110168,380333.16131132963,343170
1985-1994,0-719 min,08/2019,207926117,546671.4817031538,505674
1985-1994,0-719 min,08/2020,163209337,428889.8685588056,386297
1985-1994,720-1439 min,06/2019,243535654,586347.7612389015,238800
